Project Name,Package Name,Type Name,Code Smell
ITCS431-codesmell-project,com.directi.trainining.codesmells,ChessGameTest,Unutilized Abstraction
ITCS431-codesmell-project,com.directi.training.codesmells.refactored.pieces,Knight,Unutilized Abstraction
ITCS431-codesmell-project,com.directi.training.codesmells.refactored.pieces,Rook,Unutilized Abstraction
ITCS431-codesmell-project,com.directi.training.codesmells.refactored.pieces,Bishop,Unutilized Abstraction
ITCS431-codesmell-project,com.directi.training.codesmells.refactored.pieces,Queen,Unutilized Abstraction
ITCS431-codesmell-project,com.directi.training.codesmells.refactored.pieces,King,Unutilized Abstraction
ITCS431-codesmell-project,com.directi.training.codesmells.refactored.pieces,Pawn,Unutilized Abstraction
ITCS431-codesmell-project,com.directi.training.codesmells.refactored.chess,GameEngine,Unutilized Abstraction
ITCS431-codesmell-project,com.directi.training.codesmells.smelly.pieces,RightBishop,Unutilized Abstraction
ITCS431-codesmell-project,com.directi.training.codesmells.smelly.pieces,RightBishop,Broken Hierarchy
ITCS431-codesmell-project,com.directi.training.codesmells.smelly.pieces,RightKnight,Unutilized Abstraction
ITCS431-codesmell-project,com.directi.training.codesmells.smelly.pieces,RightKnight,Broken Hierarchy
ITCS431-codesmell-project,com.directi.training.codesmells.smelly.pieces,LeftKnight,Unutilized Abstraction
ITCS431-codesmell-project,com.directi.training.codesmells.smelly.pieces,LeftKnight,Broken Hierarchy
ITCS431-codesmell-project,com.directi.training.codesmells.smelly.pieces,Knight,Unutilized Abstraction
ITCS431-codesmell-project,com.directi.training.codesmells.smelly.pieces,Knight,Broken Hierarchy
ITCS431-codesmell-project,com.directi.training.codesmells.smelly.pieces,LeftRook,Unutilized Abstraction
ITCS431-codesmell-project,com.directi.training.codesmells.smelly.pieces,LeftRook,Broken Hierarchy
ITCS431-codesmell-project,com.directi.training.codesmells.smelly.pieces,RightRook,Unutilized Abstraction
ITCS431-codesmell-project,com.directi.training.codesmells.smelly.pieces,RightRook,Broken Hierarchy
ITCS431-codesmell-project,com.directi.training.codesmells.smelly.pieces,Rook,Unutilized Abstraction
ITCS431-codesmell-project,com.directi.training.codesmells.smelly.pieces,Rook,Broken Hierarchy
ITCS431-codesmell-project,com.directi.training.codesmells.smelly.pieces,Bishop,Unutilized Abstraction
ITCS431-codesmell-project,com.directi.training.codesmells.smelly.pieces,Bishop,Broken Hierarchy
ITCS431-codesmell-project,com.directi.training.codesmells.smelly.pieces,LeftBishop,Unutilized Abstraction
ITCS431-codesmell-project,com.directi.training.codesmells.smelly.pieces,LeftBishop,Broken Hierarchy
ITCS431-codesmell-project,com.directi.training.codesmells.smelly.pieces,Queen,Unutilized Abstraction
ITCS431-codesmell-project,com.directi.training.codesmells.smelly.pieces,Queen,Broken Hierarchy
ITCS431-codesmell-project,com.directi.training.codesmells.smelly.pieces,King,Unutilized Abstraction
ITCS431-codesmell-project,com.directi.training.codesmells.smelly.pieces,King,Broken Hierarchy
ITCS431-codesmell-project,com.directi.training.codesmells.smelly.pieces,Piece,Deficient Encapsulation
ITCS431-codesmell-project,com.directi.training.codesmells.smelly.chess,ChessBoard,Deficient Encapsulation
